Delta_chilling,Damage,RMSE,Delta_RMSE,Delta_RMSECor
0,0,7.319433,0,0.149575
0,1,7.169858,-0.149575,-74.814777
-6,0,82.13421,74.814777,-74.862057
-6,1,82.18149,74.862057,-65.988467
-5,0,73.3079,65.988467,-66.046097
-5,1,73.36553,66.046097,-52.847347
-4,0,60.16678,52.847347,-52.920407
-4,1,60.23984,52.920407,-27.658037
-3,0,34.97747,27.658037,-27.808587
-3,1,35.12802,27.808587,-9.072367
-2,0,16.3918,9.072367,-9.415287
-2,1,16.73472,9.415287,-1.18404
-1,0,8.503473,1.18404,-1.348102
-1,1,8.667535,1.348102,-1.394784
1,0,8.714217,1.394784,-0.560157
1,1,7.87959,0.560157,-3.905307
2,0,11.22474,3.905307,-2.995327
2,1,10.31476,2.995327,-6.620417
3,0,13.93985,6.620417,-4.939327
3,1,12.25876,4.939327,-10.242917
4,0,17.56235,10.242917,-7.737837
4,1,15.05727,7.737837,-19.726817
5,0,27.04625,19.726817,-11.437237
5,1,18.75667,11.437237,-44.031137
6,0,51.35057,44.031137,-37.311437
6,1,44.63087,37.311437,7.319433
