Cultivar,Year,bb.date,bb.doy,Location,BBCH.scale,Observer,Dataset
Riesling,1958,5/4/1958,124,Colmar,7,J.Balthazard,1957-1958
Riesling,1959,4/11/1959,101,Colmar,7,J.Balthazard,1958-1959
Riesling,1960,4/15/1960,106,Colmar,7,J.Balthazard,1959-1960
Riesling,1961,4/8/1961,98,Colmar,7,J.Balthazard,1960-1961
Riesling,1962,4/27/1962,117,Colmar,7,J.Balthazard,1961-1962
Riesling,1963,4/30/1963,120,Colmar,7,J.Balthazard,1962-1963
Riesling,1964,4/23/1964,114,Colmar,7,J.Balthazard,1963-1964
Riesling,1965,5/1/1965,121,Colmar,7,J.Balthazard,1964-1965
Riesling,1966,4/28/1966,118,Colmar,7,J.Balthazard,1965-1966
Riesling,1967,4/24/1967,114,Colmar,7,J.Balthazard,1966-1967
Riesling,1968,4/20/1968,111,Colmar,7,J.Balthazard,1967-1968
Riesling,1969,5/8/1969,128,Colmar,7,J.Balthazard,1968-1969
Riesling,1970,5/13/1970,133,Colmar,7,J.Balthazard,1969-1970
Riesling,1971,4/25/1971,115,Colmar,7,J.Balthazard,1970-1971
Riesling,1972,4/11/1972,102,Colmar,NA,No_record,1971-1972
Riesling,1973,5/3/1973,123,Colmar,NA,No_record,1972-1973
Riesling,1974,4/20/1974,110,Colmar,NA,No_record,1973-1974
Riesling,1975,4/27/1975,117,Colmar,7,No_record,1974-1975
Riesling,1976,4/28/1976,119,Colmar,7,J.Balthazard,1975-1976
Riesling,1977,4/22/1977,112,Colmar,7,J.Balthazard,1976-1977
Riesling,1978,5/4/1978,124,Colmar,7,J.Balthazard,1977-1978
Riesling,1979,5/12/1979,132,Colmar,7,J.Balthazard,1978-1979
Riesling,1980,5/6/1980,127,Colmar,7,J.Balthazard,1979-1980
Riesling,1981,4/17/1981,107,Colmar,7,J.Balthazard,1980-1981
Riesling,1982,5/9/1982,129,Colmar,7,J.Balthazard,1981-1982
Riesling,1983,4/30/1983,120,Colmar,7,J.Balthazard,1982-1983
Riesling,1984,4/28/1984,119,Colmar,7,J.Balthazard,1983-1984
Riesling,1985,5/3/1985,123,Colmar,7,J.Balthazard,1984-1985
Riesling,1986,5/10/1986,130,Colmar,7,J.Balthazard,1985-1986
Riesling,1987,4/29/1987,119,Colmar,7,J.Balthazard,1986-1987
Riesling,1988,4/29/1988,120,Colmar,7,C.Schneider,1987-1988
Riesling,1989,4/25/1989,115,Colmar,7,C.Schneider,1988-1989
Riesling,1990,4/27/1990,117,Colmar,7,C.Schneider,1989-1990
Riesling,1991,4/14/1991,104,Colmar,7,C.Schneider,1990-1991
Riesling,1992,4/24/1992,115,Colmar,7,C.Schneider,1991-1992
Riesling,1993,4/20/1993,110,Colmar,7,C.Schneider,1992-1993
Riesling,1994,4/15/1994,105,Colmar,7,C.Schneider,1993-1994
Riesling,1995,4/16/1995,106,Colmar,7,C.Schneider,1994-1995
Riesling,1996,4/24/1996,115,Colmar,7,C.Schneider,1995-1996
Riesling,1997,4/9/1997,99,Colmar,7,C.Schneider,1996-1997
Riesling,1998,4/22/1998,112,Colmar,7,C.Schneider,1997-1998
Riesling,1999,4/13/1999,103,Colmar,7,C.Schneider,1998-1999
Riesling,2000,4/18/2000,109,Colmar,7,C.Schneider,1999-2000
Riesling,2001,4/18/2001,108,Colmar,7,C.Schneider,2000-2001
Riesling,2002,4/16/2002,106,Colmar,7,C.Schneider,2001-2002
Riesling,2003,4/15/2003,105,Colmar,7,C.Schneider,2002-2003
Riesling,2004,4/22/2004,113,Colmar,7,C.Schneider,2003-2004
Riesling,2005,4/23/2005,113,Colmar,7,C.Schneider,2004-2005
Riesling,2006,4/25/2006,115,Colmar,7,C.Schneider,2005-2006
Riesling,2007,4/12/2007,102,Colmar,7,C.Schneider,2006-2007
Riesling,2008,4/28/2008,119,Colmar,7,C.Schneider,2007-2008
